doctor_id,doctor_name,specialization,department,experience_years
D0001,Dr. Aarav Reddy,Interventional Cardiology,Cardiology,26
D0002,Dr. Vivaan Sharma,Audiology,ENT,17
D0003,Dr. Aadhya Gandhi,Adult Psychiatry,Psychiatry,11
D0004,Dr. Ira Sharma,ENT Surgery,ENT,3
D0005,Dr. Meera Mitra,Interventional Pulmonology,Pulmonology,29
D0006,Dr. Vivaan Verma,Histopathology,Pathology,10
D0007,Dr. Meera Mehta,Neonatology,Pediatrics,2
D0008,Dr. Sneha Gandhi,General Pediatrics,Pediatrics,16
D0009,Dr. Vikram Iyer,Endoscopy,Gastroenterology,16
D0010,Dr. Saanvi Patel,Audiology,ENT,27
D0011,Dr. Asha Desai,Histopathology,Pathology,26
D0012,Dr. Arjun Verma,Radiation Oncology,Oncology,8
D0013,Dr. Ananya Bose,Diagnostic Radiology,Radiology,7
D0014,Dr. Shreya Das,Interventional Radiology,Radiology,10
D0015,Dr. Arjun Gupta,Adult Psychiatry,Psychiatry,29
D0016,Dr. Vivaan Mehta,Endoscopy,Gastroenterology,24
D0017,Dr. Karan Patel,Transplant,Nephrology,4
D0018,Dr. Vikram Mitra,Cosmetic Dermatology,Dermatology,30
D0019,Dr. Meera Reddy,Sleep Medicine,Pulmonology,9
D0020,Dr. Saanvi Mehta,Audiology,ENT,5
D0021,Dr. Arjun Gupta,Non-Invasive Cardiology,Cardiology,7
D0022,Dr. Vikram Gupta,Diagnostic Radiology,Radiology,4
D0023,Dr. Ira Mitra,Retina,Ophthalmology,1
D0024,Dr. Arjun Joshi,Internal Medicine,General Medicine,27
D0025,Dr. Vivaan Sharma,Endourology,Urology,12
D0026,Dr. Pooja Das,Spine,Orthopedics,16
D0027,Dr. Aadhya Mehta,Neurosurgery,Neurology,16
D0028,Dr. Karan Joshi,General Pediatrics,Pediatrics,8
D0029,Dr. Ira Bose,Neurosurgery,Neurology,25
D0030,Dr. Vikram Kumar,Interventional Cardiology,Cardiology,13
D0031,Dr. Ananya Khanna,ENT Surgery,ENT,9
D0032,Dr. Shreya Joshi,Spine,Orthopedics,10
D0033,Dr. Aarav Bose,Radiation Oncology,Oncology,30
D0034,Dr. Saanvi Sharma,Dialysis,Nephrology,8
D0035,Dr. Meera Kumar,Non-Invasive Cardiology,Cardiology,1
D0036,Dr. Meera Gupta,Hepatology,Gastroenterology,3
D0037,Dr. Kabir Singh,Trauma Medicine,Emergency,5
D0038,Dr. Meera Desai,Thyroid Specialist,Endocrinology,7
D0039,Dr. Shreya Joshi,General Surgery,Surgery,28
D0040,Dr. Aadhya Kapoor,Histopathology,Pathology,16
D0041,Dr. Aadhya Kumar,Dialysis,Nephrology,8
D0042,Dr. Diya Nair,Spine,Orthopedics,1
D0043,Dr. Pooja Das,Transplant,Nephrology,21
D0044,Dr. Aadhya Chopra,Interventional Radiology,Radiology,3
D0045,Dr. Kabir Joshi,Child Psychiatry,Psychiatry,23
D0046,Dr. Sai Iyer,Non-Invasive Cardiology,Cardiology,6
D0047,Dr. Sneha Sharma,Cosmetic Dermatology,Dermatology,12
D0048,Dr. Karan Iyer,Neurosurgery,Neurology,15
D0049,Dr. Saanvi Mitra,Laparoscopic Surgery,Surgery,17
D0050,Dr. Vivaan Mehta,Interventional Pulmonology,Pulmonology,27
D0051,Dr. Ira Menon,Dialysis,Nephrology,18
D0052,Dr. Karan Das,Transplant,Nephrology,21
D0053,Dr. Meera Verma,Clinical Pathology,Pathology,21
D0054,Dr. Aadhya Das,Interventional Pulmonology,Pulmonology,17
D0055,Dr. Aarav Iyer,Cornea,Ophthalmology,27
D0056,Dr. Diya Desai,Clinical Pathology,Pathology,12
D0057,Dr. Aarav Joshi,Thyroid Specialist,Endocrinology,16
D0058,Dr. Diya Gandhi,General Pediatrics,Pediatrics,12
D0059,Dr. Shreya Das,Reproductive Medicine,Gynecology,4
D0060,Dr. Diya Kapoor,Clinical Neurology,Neurology,28
D0061,Dr. Ira Singh,Audiology,ENT,25
D0062,Dr. Aadhya Reddy,Neonatology,Pediatrics,9
D0063,Dr. Vivaan Kapoor,Hepatology,Gastroenterology,15
D0064,Dr. Kabir Bose,Retina,Ophthalmology,5
D0065,Dr. Vikram Mehta,Endourology,Urology,23
D0066,Dr. Sneha Verma,Interventional Cardiology,Cardiology,11
D0067,Dr. Sneha Nair,Adult Psychiatry,Psychiatry,18
D0068,Dr. Vikram Chopra,Reproductive Medicine,Gynecology,1
D0069,Dr. Sai Nair,Radiation Oncology,Oncology,16
D0070,Dr. Ira Reddy,ENT Surgery,ENT,28
D0071,Dr. Vivaan Desai,Histopathology,Pathology,18
D0072,Dr. Saanvi Singh,Joint Replacement,Orthopedics,13
D0073,Dr. Ananya Sharma,Adult Psychiatry,Psychiatry,20
D0074,Dr. Meera Bose,Spine,Orthopedics,16
D0075,Dr. Vivaan Gupta,Adult Psychiatry,Psychiatry,22
D0076,Dr. Saanvi Nair,Radiation Oncology,Oncology,16
D0077,Dr. Diya Verma,Clinical Pathology,Pathology,3
D0078,Dr. Kabir Reddy,Neurosurgery,Neurology,18
